,user_id,"round(sum(price), 2)",Frequency,Recent_Date
0,562288986,39.61,8,2020-01-01
1,488417434,78.84,20,2020-02-17
2,515285785,20.99,5,2020-01-02
3,596274199,25.58,9,2020-01-03
4,129675214,41.17,9,2020-01-03
5,547896223,9.97,3,2020-01-03
6,448661287,134.51,51,2020-01-04
7,313258707,167.73,52,2020-02-08
8,575807523,12.33,3,2020-01-04
9,550993984,98.08,12,2020-01-13
10,596301825,68.08,6,2020-01-05
11,591417261,60.38,7,2020-01-05
12,596236891,36.54,7,2020-01-06
13,585345834,9.61,6,2020-01-06
14,586255372,48.57,2,2020-01-06
15,596767714,9.68,2,2020-01-06
16,589466108,18.02,9,2020-01-09
17,512077183,8.4,4,2020-01-07
18,553745687,18.25,1,2020-01-07
19,530126676,183.43,40,2020-01-27
20,277853305,63.24,19,2020-02-27
21,572728926,157.87,44,2020-02-16
22,528146252,23.9,4,2020-01-07
23,567277646,11.76,1,2020-01-07
24,559141911,182.25,30,2020-01-29
25,451666261,113.95,53,2020-01-08
26,561656117,46.35,7,2020-01-08
27,596508922,31.19,2,2020-01-08
28,230350829,3.02,1,2020-01-08
29,598413513,46.69,14,2020-01-08
30,235005368,66.6,9,2020-01-08
31,598551991,38.08,19,2020-01-09
32,587023208,16.97,7,2020-01-08
33,444025079,43.92,10,2020-01-08
34,556889344,130.3,17,2020-02-23
35,598781207,58.16,7,2020-01-09
36,518058053,24.16,7,2020-01-28
37,544692486,9.83,3,2020-01-09
38,579335614,39.68,4,2020-01-10
39,599086117,21.58,4,2020-01-10
40,552192397,10.41,3,2020-01-01
41,390434031,20.22,7,2020-01-14
42,578781749,36.26,15,2020-01-31
43,596056228,14.51,1,2020-01-02
44,316588275,41.25,10,2020-01-31
45,519610519,23.3,8,2020-01-03
46,417219658,156.67,33,2020-02-08
47,596118755,38.49,10,2020-01-03
48,550129684,30.66,8,2020-01-04
49,574608435,35.83,23,2020-02-02
50,586381741,15.41,2,2020-01-04
51,466436465,140.99,38,2020-02-17
52,530711990,206.98,36,2020-02-26
53,476144292,198.83,28,2020-02-11
54,597164726,6.02,1,2020-01-05
55,597182850,130.73,16,2020-01-05
56,595257622,24.91,5,2020-01-05
57,523846639,57.18,14,2020-01-05
58,590256312,10.48,2,2020-01-05
59,414432394,14.12,3,2020-01-06
60,596760502,41.11,13,2020-01-06
61,596888930,10.51,3,2020-01-06
62,549907112,31.63,3,2020-01-12
63,251535356,11.06,3,2020-01-06
64,520093975,22.11,9,2020-01-06
65,597696744,48.15,9,2020-01-07
66,597784912,35.0,3,2020-01-07
67,597818376,29.2,4,2020-01-07
68,597993806,9.65,4,2020-01-07
69,598059178,4.85,3,2020-01-07
70,598111090,18.25,1,2020-01-07
71,515012982,20.64,4,2020-02-13
72,598241093,41.93,12,2020-02-03
73,429666020,181.26,63,2020-02-18
74,598434216,9.52,2,2020-01-09
75,582854319,17.3,1,2020-01-09
76,546739227,112.4,22,2020-01-09
77,379786691,215.7,19,2020-01-09
78,598585568,30.46,7,2020-01-09
79,397860448,49.44,13,2020-01-01
80,566666943,23.67,12,2020-01-01
81,595652244,33.65,6,2020-01-01
82,595813210,19.94,6,2020-01-02
83,480359423,16.45,3,2020-01-02
84,572856404,203.52,36,2020-01-04
85,593227202,41.44,6,2020-01-03
86,596400358,22.22,1,2020-01-03
87,518247828,18.41,2,2020-01-04
